datetime,pm1,pm25
2021-01-14 01:00:00+00:00,3.5,6.1
2021-01-19 23:00:00+00:00,0.0,0.0
2021-01-20 00:00:00+00:00,0.1,0.25
2021-01-20 01:00:00+00:00,0.0,0.0069
2021-01-20 02:00:00+00:00,0.0,0.0034
2021-01-20 03:00:00+00:00,0.0,0.0
2021-01-20 04:00:00+00:00,0.0,0.0
2021-01-20 05:00:00+00:00,0.0,0.0
2021-01-20 06:00:00+00:00,0.0,0.0
2021-01-20 07:00:00+00:00,0.0,0.019
2021-01-20 08:00:00+00:00,0.0,0.017
2021-01-20 09:00:00+00:00,0.0,0.024
2021-01-20 10:00:00+00:00,0.012,0.054
2021-01-20 11:00:00+00:00,0.08,0.32
2021-01-20 12:00:00+00:00,0.1,0.35
2021-01-20 13:00:00+00:00,0.56,0.98
2021-01-20 14:00:00+00:00,1.7,2.4
2021-01-20 15:00:00+00:00,0.63,1.1
2021-01-20 16:00:00+00:00,1.1,1.6
2021-01-20 17:00:00+00:00,2.7,3.6
2021-01-20 18:00:00+00:00,3.6,4.9
2021-01-20 19:00:00+00:00,4.9,7.2
2021-01-20 20:00:00+00:00,1.7,2.5
2021-01-20 21:00:00+00:00,1.0,1.5
2021-01-20 22:00:00+00:00,0.0,0.0067
2021-01-20 23:00:00+00:00,0.0,0.0
2021-01-21 00:00:00+00:00,0.0069,0.038
2021-01-21 01:00:00+00:00,0.83,1.4
2021-01-21 02:00:00+00:00,0.0,0.052
2021-01-21 03:00:00+00:00,1.0,1.9
2021-01-21 04:00:00+00:00,0.19,0.52
2021-01-21 05:00:00+00:00,0.56,1.3
2021-01-21 06:00:00+00:00,0.58,1.2
2021-01-21 07:00:00+00:00,0.36,0.72
2021-01-21 08:00:00+00:00,2.9,3.9
2021-01-21 09:00:00+00:00,1.5,2.2
2021-01-21 10:00:00+00:00,1.1,1.7
2021-01-21 11:00:00+00:00,0.26,0.67
2021-01-21 12:00:00+00:00,0.39,0.89
2021-01-21 13:00:00+00:00,0.48,1.1
2021-01-21 14:00:00+00:00,0.83,1.6
2021-01-21 15:00:00+00:00,0.93,1.8
2021-01-21 16:00:00+00:00,1.5,2.8
2021-01-21 17:00:00+00:00,1.6,2.8
2021-01-21 18:00:00+00:00,1.8,3.6
2021-01-21 19:00:00+00:00,1.0,2.1
2021-01-21 20:00:00+00:00,1.2,2.2
2021-01-21 21:00:00+00:00,1.6,2.9
2021-01-21 22:00:00+00:00,0.38,1.1
2021-01-21 23:00:00+00:00,0.46,1.2
2021-01-22 00:00:00+00:00,0.29,0.94
2021-01-22 01:00:00+00:00,1.7,3.2
2021-01-22 02:00:00+00:00,0.91,2.0
2021-01-22 03:00:00+00:00,1.8,3.5
2021-01-22 04:00:00+00:00,1.3,2.8
2021-01-22 05:00:00+00:00,0.35,1.3
2021-01-22 06:00:00+00:00,0.23,1.0
2021-01-22 07:00:00+00:00,0.2,1.1
2021-01-22 08:00:00+00:00,0.19,0.94
2021-01-22 09:00:00+00:00,3.7,6.2
2021-01-22 10:00:00+00:00,9.7,15.0
2021-01-22 11:00:00+00:00,2.6,4.5
2021-01-22 12:00:00+00:00,1.5,2.8
2021-01-22 13:00:00+00:00,1.7,3.1
2021-01-22 14:00:00+00:00,1.8,3.1
2021-01-22 15:00:00+00:00,1.2,2.4
2021-01-22 16:00:00+00:00,2.7,5.0
2021-01-22 17:00:00+00:00,3.3,5.5
2021-01-22 18:00:00+00:00,11.0,15.0
2021-01-22 19:00:00+00:00,14.0,20.0
2021-01-22 20:00:00+00:00,15.0,22.0
2021-01-22 21:00:00+00:00,19.0,27.0
2021-01-22 22:00:00+00:00,19.0,28.0
2021-01-22 23:00:00+00:00,8.5,12.0
2021-01-23 00:00:00+00:00,12.0,18.0
2021-01-23 01:00:00+00:00,17.0,29.0
2021-01-23 02:00:00+00:00,14.0,22.0
2021-01-23 03:00:00+00:00,9.6,16.0
2021-01-23 04:00:00+00:00,4.6,7.5
2021-01-23 05:00:00+00:00,1.8,3.4
2021-01-23 06:00:00+00:00,2.8,5.4
2021-01-23 07:00:00+00:00,3.9,7.3
2021-01-23 08:00:00+00:00,30.0,53.0
2021-01-23 09:00:00+00:00,18.0,28.0
2021-01-23 10:00:00+00:00,2.2,3.7
2021-01-23 11:00:00+00:00,2.2,3.3
2021-01-23 12:00:00+00:00,2.9,4.7
2021-01-23 13:00:00+00:00,2.9,4.8
2021-01-23 14:00:00+00:00,3.0,4.7
2021-01-23 15:00:00+00:00,3.0,4.7
2021-01-23 16:00:00+00:00,2.4,4.1
2021-01-23 17:00:00+00:00,6.5,9.5
2021-01-23 18:00:00+00:00,4.1,6.4
2021-01-23 19:00:00+00:00,7.6,11.0
2021-01-23 20:00:00+00:00,7.4,12.0
2021-01-23 21:00:00+00:00,8.0,12.0
2021-01-23 22:00:00+00:00,4.0,6.7
2021-01-23 23:00:00+00:00,0.12,0.42
2021-01-24 00:00:00+00:00,0.33,0.79
2021-01-24 01:00:00+00:00,2.9,5.0
2021-01-24 02:00:00+00:00,5.8,10.0
2021-01-24 03:00:00+00:00,9.4,16.0
2021-01-24 04:00:00+00:00,14.0,22.0
2021-01-24 05:00:00+00:00,15.0,24.0
2021-01-24 06:00:00+00:00,17.0,28.0
2021-01-24 07:00:00+00:00,18.0,29.0
2021-01-24 08:00:00+00:00,20.0,34.0
2021-01-24 09:00:00+00:00,22.0,36.0
2021-01-24 10:00:00+00:00,26.0,41.0
2021-01-24 11:00:00+00:00,29.0,46.0
2021-01-24 12:00:00+00:00,26.0,40.0
2021-01-24 13:00:00+00:00,27.0,42.0
2021-01-24 14:00:00+00:00,22.0,33.0
2021-01-24 15:00:00+00:00,19.0,29.0
2021-01-24 16:00:00+00:00,20.0,30.0
2021-01-24 17:00:00+00:00,21.0,31.0
2021-01-24 18:00:00+00:00,17.0,24.0
2021-01-24 19:00:00+00:00,15.0,22.0
2021-01-24 20:00:00+00:00,9.5,14.0
2021-01-24 21:00:00+00:00,3.9,5.7
2021-01-24 22:00:00+00:00,2.6,4.3
2021-01-24 23:00:00+00:00,1.2,2.2
2021-01-25 00:00:00+00:00,0.072,0.38
2021-01-25 01:00:00+00:00,0.71,1.4
2021-01-25 02:00:00+00:00,3.3,5.1
2021-01-25 03:00:00+00:00,5.5,8.4
2021-01-25 04:00:00+00:00,3.9,6.0
2021-01-25 05:00:00+00:00,3.9,5.8
2021-01-25 06:00:00+00:00,2.9,4.4
2021-01-25 07:00:00+00:00,3.7,5.7
2021-01-25 08:00:00+00:00,4.1,6.3
2021-01-25 09:00:00+00:00,1.6,3.0
2021-01-25 10:00:00+00:00,3.6,5.4
2021-01-25 11:00:00+00:00,2.4,4.0
2021-01-25 12:00:00+00:00,2.0,3.4
2021-01-25 13:00:00+00:00,1.3,2.3
2021-01-25 14:00:00+00:00,1.5,2.5
2021-01-25 15:00:00+00:00,0.35,1.1
2021-01-25 16:00:00+00:00,0.87,1.6
2021-01-25 17:00:00+00:00,1.4,2.7
2021-01-25 18:00:00+00:00,1.6,3.1
2021-01-25 19:00:00+00:00,2.1,3.8
2021-01-25 20:00:00+00:00,2.1,3.9
2021-01-25 21:00:00+00:00,1.9,3.3
2021-01-25 22:00:00+00:00,2.2,3.7
2021-01-25 23:00:00+00:00,0.88,1.7
2021-01-26 00:00:00+00:00,2.1,3.5
2021-01-26 01:00:00+00:00,9.5,13.0
2021-01-26 02:00:00+00:00,10.0,15.0
2021-01-26 03:00:00+00:00,5.5,8.1
2021-01-26 04:00:00+00:00,6.3,8.8
2021-01-26 05:00:00+00:00,5.5,7.6
2021-01-26 06:00:00+00:00,9.2,12.0
2021-01-26 07:00:00+00:00,6.1,8.2
2021-01-26 08:00:00+00:00,6.0,8.2
2021-01-26 09:00:00+00:00,7.7,10.0
2021-01-26 10:00:00+00:00,11.0,15.0
2021-01-26 11:00:00+00:00,7.4,10.0
2021-01-26 12:00:00+00:00,2.2,3.2
2021-01-26 13:00:00+00:00,5.4,7.3
2021-01-26 14:00:00+00:00,9.4,13.0
2021-01-26 15:00:00+00:00,17.0,25.0
2021-01-26 16:00:00+00:00,16.0,24.0
2021-01-26 17:00:00+00:00,16.0,22.0
2021-01-26 18:00:00+00:00,22.0,33.0
2021-01-26 19:00:00+00:00,25.0,37.0
2021-01-26 20:00:00+00:00,15.0,23.0
2021-01-26 21:00:00+00:00,18.0,27.0
2021-01-26 22:00:00+00:00,12.0,18.0
2021-01-26 23:00:00+00:00,4.8,7.9
2021-01-27 01:00:00+00:00,3.1,6.1
2021-01-27 02:00:00+00:00,3.4,6.3
2021-01-27 03:00:00+00:00,6.8,12.0
2021-01-27 04:00:00+00:00,8.4,15.0
2021-01-27 05:00:00+00:00,5.4,9.4
2021-01-27 06:00:00+00:00,4.6,8.9
2021-01-27 07:00:00+00:00,4.2,8.4
2021-01-27 08:00:00+00:00,5.0,10.0
2021-01-27 09:00:00+00:00,4.2,8.8
2021-01-27 10:00:00+00:00,6.7,12.0
2021-01-27 11:00:00+00:00,3.8,8.0
2021-01-27 12:00:00+00:00,4.2,8.7
2021-01-27 13:00:00+00:00,4.5,9.1
2021-01-27 14:00:00+00:00,3.7,7.7
2021-01-27 15:00:00+00:00,4.3,8.3
2021-01-27 16:00:00+00:00,7.2,12.0
