datetime,pm1,pm25
2021-08-03 21:00:00+00:00,1.6,4.4
2022-04-05 06:00:00+00:00,0.0,0.0
2022-04-05 07:00:00+00:00,0.04,0.13
2022-04-05 08:00:00+00:00,0.13,0.27
2022-04-05 09:00:00+00:00,1.1,2.3
2022-04-05 10:00:00+00:00,2.9,5.7
2022-04-05 11:00:00+00:00,0.97,2.4
2022-04-05 12:00:00+00:00,0.45,1.1
2022-04-05 13:00:00+00:00,0.01,0.13
2022-04-05 14:00:00+00:00,0.46,1.1
2022-04-05 15:00:00+00:00,0.21,0.57
2022-04-05 16:00:00+00:00,0.0,0.013
2022-04-05 17:00:00+00:00,0.033,0.23
2022-04-05 18:00:00+00:00,0.12,0.27
2022-04-05 19:00:00+00:00,0.17,0.59
2022-04-05 20:00:00+00:00,0.12,0.66
2022-04-05 21:00:00+00:00,0.76,1.7
2022-04-05 22:00:00+00:00,0.041,0.29
2022-04-05 23:00:00+00:00,0.13,0.68
2022-04-06 00:00:00+00:00,1.8,4.3
2022-04-06 05:00:00+00:00,0.017,0.067
2022-04-06 06:00:00+00:00,0.0,0.0045
2022-04-06 07:00:00+00:00,0.0,0.0
2022-04-14 10:00:00+00:00,17.0,30.0
2022-04-14 11:00:00+00:00,6.1,12.0
2022-04-14 12:00:00+00:00,13.0,21.0
2022-04-14 13:00:00+00:00,8.7,17.0
2022-04-14 14:00:00+00:00,6.6,11.0
2022-04-14 15:00:00+00:00,4.3,7.7
2022-04-14 16:00:00+00:00,5.1,9.4
2022-04-14 17:00:00+00:00,5.1,9.4
2022-04-14 18:00:00+00:00,8.2,15.0
2022-04-14 19:00:00+00:00,16.0,26.0
2022-04-14 20:00:00+00:00,24.0,36.0
2022-04-14 21:00:00+00:00,62.0,100.0
2022-04-14 22:00:00+00:00,26.0,39.0
2022-04-14 23:00:00+00:00,30.0,46.0
2022-04-15 00:00:00+00:00,45.0,76.0
2022-04-15 01:00:00+00:00,36.0,55.0
2022-04-15 02:00:00+00:00,39.0,62.0
2022-04-15 03:00:00+00:00,39.0,62.0
2022-04-15 04:00:00+00:00,29.0,45.0
2022-04-15 05:00:00+00:00,34.0,54.0
2022-04-15 06:00:00+00:00,36.0,56.0
2022-04-15 07:00:00+00:00,30.0,45.0
2022-04-15 08:00:00+00:00,25.0,38.0
2022-04-15 09:00:00+00:00,8.0,17.0
2022-04-15 10:00:00+00:00,7.7,16.0
2022-04-15 11:00:00+00:00,4.3,8.5
2022-04-15 12:00:00+00:00,0.78,2.4
2022-04-15 13:00:00+00:00,0.41,1.4
2022-04-15 14:00:00+00:00,0.61,2.1
2022-04-15 15:00:00+00:00,2.4,4.9
2022-04-15 16:00:00+00:00,1.1,2.7
2022-04-15 17:00:00+00:00,4.7,8.3
2022-04-15 18:00:00+00:00,12.0,18.0
2022-04-15 19:00:00+00:00,23.0,34.0
2022-04-15 20:00:00+00:00,27.0,41.0
2022-04-15 21:00:00+00:00,28.0,44.0
2022-04-15 22:00:00+00:00,28.0,44.0
2022-04-15 23:00:00+00:00,27.0,42.0
2022-04-16 00:00:00+00:00,27.0,41.0
2022-04-16 01:00:00+00:00,26.0,40.0
2022-04-16 02:00:00+00:00,27.0,42.0
2022-04-16 03:00:00+00:00,32.0,52.0
2022-04-16 04:00:00+00:00,29.0,46.0
2022-04-16 05:00:00+00:00,28.0,45.0
2022-04-16 06:00:00+00:00,28.0,46.0
2022-04-16 07:00:00+00:00,27.0,43.0
2022-04-16 08:00:00+00:00,28.0,45.0
2022-04-16 09:00:00+00:00,29.0,48.0
2022-04-16 10:00:00+00:00,31.0,50.0
2022-04-16 11:00:00+00:00,31.0,50.0
2022-04-16 12:00:00+00:00,21.0,32.0
2022-04-16 13:00:00+00:00,4.8,9.2
2022-04-16 14:00:00+00:00,3.9,6.5
2022-04-16 15:00:00+00:00,1.9,3.6
2022-04-16 16:00:00+00:00,4.9,8.2
2022-04-16 17:00:00+00:00,6.0,10.0
2022-04-16 18:00:00+00:00,17.0,24.0
2022-04-16 19:00:00+00:00,25.0,36.0
2022-04-16 20:00:00+00:00,28.0,42.0
2022-04-16 21:00:00+00:00,27.0,41.0
2022-04-16 22:00:00+00:00,26.0,40.0
2022-04-16 23:00:00+00:00,28.0,43.0
2022-04-17 00:00:00+00:00,24.0,37.0
2022-04-17 01:00:00+00:00,24.0,37.0
2022-04-17 02:00:00+00:00,30.0,47.0
2022-04-17 03:00:00+00:00,28.0,45.0
2022-04-17 04:00:00+00:00,28.0,45.0
2022-04-17 05:00:00+00:00,32.0,52.0
2022-04-17 06:00:00+00:00,24.0,38.0
2022-04-17 07:00:00+00:00,20.0,32.0
2022-04-17 08:00:00+00:00,22.0,34.0
2022-04-17 09:00:00+00:00,22.0,35.0
2022-04-17 10:00:00+00:00,20.0,32.0
2022-04-17 11:00:00+00:00,20.0,32.0
2022-04-17 12:00:00+00:00,18.0,29.0
2022-04-17 13:00:00+00:00,15.0,26.0
2022-04-17 14:00:00+00:00,14.0,24.0
2022-04-17 15:00:00+00:00,7.6,17.0
2022-04-17 16:00:00+00:00,7.3,17.0
2022-04-17 17:00:00+00:00,5.8,12.0
2022-04-17 18:00:00+00:00,6.3,12.0
2022-04-17 19:00:00+00:00,8.5,15.0
2022-04-17 20:00:00+00:00,6.8,12.0
2022-04-17 21:00:00+00:00,15.0,24.0
2022-04-17 22:00:00+00:00,23.0,35.0
2022-04-17 23:00:00+00:00,7.0,12.0
2022-04-18 00:00:00+00:00,12.0,21.0
2022-04-18 01:00:00+00:00,10.0,22.0
2022-04-18 02:00:00+00:00,8.4,15.0
2022-04-18 03:00:00+00:00,3.6,5.6
2022-04-18 04:00:00+00:00,1.7,3.6
2022-04-18 05:00:00+00:00,0.54,1.3
2022-04-18 06:00:00+00:00,3.0,5.7
2022-04-18 07:00:00+00:00,2.9,5.6
2022-04-18 08:00:00+00:00,0.86,1.7
2022-04-18 09:00:00+00:00,0.025,0.14
2022-04-18 10:00:00+00:00,0.92,2.1
2022-04-18 11:00:00+00:00,0.029,0.13
2022-04-18 12:00:00+00:00,4.9,10.0
2022-04-18 13:00:00+00:00,1.9,4.1
2022-04-18 14:00:00+00:00,0.45,1.1
2022-04-18 15:00:00+00:00,5.4,11.0
2022-04-18 16:00:00+00:00,1.1,2.4
2022-04-18 17:00:00+00:00,2.9,5.1
2022-04-18 18:00:00+00:00,3.5,5.9
2022-04-18 19:00:00+00:00,1.2,2.6
2022-04-18 20:00:00+00:00,4.8,9.4
